"date","actual_rv_gk","returns_test","garch_norm_static","gjr_t_static","garch_norm_roll","gjr_t_roll"
2021-10-04,0.000108943741553879,-0.0129858981367484,0.000158163275816025,0.000142750587105705,0.000107025828271306,0.000129554065101972
2021-10-05,6.70501712004398e-05,0.0105245146606092,0.000158172563458048,0.000142765341936012,0.000115859084569784,0.000149203472413003
2021-10-06,0.000110830802339482,0.00410279285418547,0.000158181758999979,0.000142779968778782,0.000114869908497845,0.000136510276861962
2021-10-07,4.99041614309837e-05,0.00829828065640537,0.000158190863355122,0.000142794468744215,0.000104640339343347,0.000124644761606934
2021-10-08,1.26038119234588e-05,-0.00191372309478899,0.000158199877427723,0.000142808842932881,0.000100818648045698,0.000114167239090231
2021-10-11,6.74997284625798e-05,-0.00686576384805682,0.000158208802113059,0.000142823092435802,9.16318389496087e-05,0.000105557585108906
2021-10-12,2.1978395025467e-05,-0.00241678055854211,0.000158217638297533,0.000142837218334537,8.87681891903657e-05,0.000105814772588171
2021-10-13,4.80326403217773e-05,0.00302251448379387,0.000158226386858756,0.000142851221701265,8.12898361330335e-05,9.84579506886027e-05
2021-10-14,1.94165588999899e-05,0.0170631019455834,0.000158235048665635,0.000142865103598862,7.44703697221738e-05,9.05137485368542e-05
2021-10-15,8.98243912903339e-06,0.00746021037771261,0.000158243624578463,0.000142878865080985,9.66486788058552e-05,8.34797119403924e-05
2021-10-18,3.2703500347211e-05,0.00337476955709759,0.000158252115449001,0.000142892507192151,9.24378496947335e-05,7.70241016540114e-05
2021-10-19,4.71484426561121e-06,0.00739333955140631,0.000158260522120562,0.000142906030967819,8.44801097878379e-05,7.11819280814487e-05
2021-10-20,3.9944213464527e-06,0.0036640298040167,0.000158268845428099,0.000142919437434464,8.15975678797304e-05,6.59180171167919e-05
2021-10-21,8.86264868107771e-06,0.00299587184962258,0.000158277086198284,0.000142932727609656,7.51367250607153e-05,6.11208322461391e-05
2021-10-22,3.08122847730843e-05,-0.0010725536274131,0.000158285245249591,0.00014294590250214,6.9026242770307e-05,5.68073365518395e-05
2021-10-25,2.69230667481973e-05,0.00474819656949355,0.000158293323392378,0.000142958963111912,6.32908657083818e-05,5.32170523842166e-05
2021-10-26,2.02320914586779e-05,0.00181979525351972,0.000158301321428968,0.00014297191043029,5.98345522496685e-05,4.96509693622131e-05
2021-10-27,1.08578221228797e-05,-0.00505156806846285,0.000158309240153727,0.000142984745439998,5.49996375393756e-05,4.63952991543218e-05
2021-10-28,7.94593045408189e-06,0.00982928157646112,0.000158317080353143,0.000142997469115231,5.39156612908018e-05,4.85063811584304e-05
2021-10-29,1.95597262368176e-05,0.00194933471914926,0.000158324842805907,0.000143010082421736,5.87676469608087e-05,4.54715134971869e-05
2021-11-01,1.4881576766693e-05,0.00180007714313413,0.000158332528282985,0.000143022586316882,5.41233030810968e-05,4.26336433275826e-05
2021-11-02,5.70429987286117e-06,0.0036803630854132,0.000158340137547702,0.000143034981749734,4.99867922187035e-05,4.00595646864947e-05
2021-11-03,2.54308443512875e-05,0.00646127919535799,0.000158347671355809,0.000143047269661125,4.71860566245131e-05,3.7743489181529e-05
2021-11-04,4.34499828324429e-06,0.00418194236115044,0.000158355130455567,0.000143059450983725,4.74118078679835e-05,3.57035081984981e-05
2021-11-05,3.12385485788658e-05,0.00373279965294926,0.000158362515587813,0.000143071526642117,4.52783233597738e-05,3.38130002857925e-05
2021-11-08,9.52019765820476e-06,0.000887787911303617,0.00015836982748604,0.00014308349755286,4.30704080387903e-05,3.20957516476625e-05
2021-11-09,2.37657505516655e-05,-0.00349877589577074,0.000158377066876467,0.000143095364624565,3.98018662992145e-05,3.05084880391757e-05
2021-11-10,5.73077190356852e-05,-0.0082258233952297,0.000158384234478111,0.000143107128757962,3.91260452121357e-05,3.17060523281857e-05
2021-11-11,4.25536108320339e-06,0.000550940044735215,0.00015839133100286,0.000143118790845966,4.48552551844235e-05,4.30390246919141e-05
2021-11-12,1.90830163546326e-05,0.00722265602641547,0.000158398357155541,0.000143130351773747,4.15731751834333e-05,4.04318769511101e-05
2021-11-15,1.29967221953935e-05,-1.07398203447184e-05,0.000158405313633992,0.000143141812418798,4.3527099063194e-05,3.81188266148387e-05
2021-11-16,2.05061785797676e-05,0.00386522986486248,0.000158412201129132,0.000143153173650999,4.03963635867636e-05,3.60159970822382e-05
2021-11-17,3.74599006595005e-06,-0.0026016253744634,0.000158419020325029,0.000143164436332685,3.88660539084724e-05,3.40829306277312e-05
2021-11-18,2.92280283755427e-05,0.00338478021527133,0.000158425771898965,0.00014317560131871,3.73863272551927e-05,3.38549620910102e-05
2021-11-19,1.05818844427382e-05,-0.00139866555930324,0.000158432456521507,0.000143186669456515,3.5871978932367e-05,3.21360810392127e-05
2021-11-22,7.08010226573419e-05,-0.00319713655632192,0.000158439074856574,0.000143197641586189,3.4066253486111e-05,3.10909788142794e-05
2021-11-23,4.73074619839096e-05,0.00165713291294511,0.0001584456275615,0.000143208518540531,3.36419641840566e-05,3.18389286340729e-05
2021-11-24,3.05579427155915e-05,0.00229385063572218,0.000158452115287099,0.000143219301145121,3.17979023731999e-05,3.02653518677516e-05
2021-11-26,5.82847794615427e-05,-0.0227248226375825,0.000158458538677734,0.000143229990218373,3.04004969151239e-05,2.8856683310945e-05
2021-11-29,4.00057157132744e-05,0.013200199537035,0.000158464898371377,0.000143240586571606,8.65539916628942e-05,0.000120425759567581
2021-11-30,7.68236717507996e-05,-0.0189613103345052,0.000158471194999673,0.000143251091009099,9.52793185260434e-05,0.000110435670207506
2021-12-01,0.000335031135405005,-0.0118151874178892,0.000158477429188005,0.000143261504328155,0.000126735278218146,0.000167028592245651
2021-12-02,0.000100697249839936,0.0141944361315831,0.000158483601555552,0.00014327182731916,0.00013009541547211,0.000178156102915546
2021-12-03,0.000259367263700949,-0.00844856373029756,0.000158489712715356,0.000143282060765645,0.000136572226832122,0.000162332909604046
2021-12-06,8.93908744801257e-05,0.0117308725774514,0.000158495763274378,0.000143292205444345,0.000130932848310378,0.000161405703165348
2021-12-07,3.51986316819333e-05,0.0207070803744043,0.000158501753833559,0.000143302262125256,0.000130860004215978,0.000147120602519075
2021-12-08,1.93269127739329e-05,0.00308528531231667,0.000158507684987884,0.000143312231571696,0.000160317734079684,0.000134509660260621
